"대여일자","평일/주말","평균온도","풍속","풍향","강수량","이용건수"
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,14
2022-02-07,0,-2.5,1.8,290,0,13
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,13
2022-02-07,0,-2.5,1.8,290,0,9
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,16
2022-02-07,0,-2.5,1.8,290,0,14
2022-02-07,0,-2.5,1.8,290,0,6
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,10
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,7
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,7
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,6
2022-02-07,0,-2.5,1.8,290,0,6
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,6
2022-02-07,0,-2.5,1.8,290,0,6
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,9
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,7
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,6
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,6
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,5
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,9
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,4
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,1
2022-02-07,0,-2.5,1.8,290,0,3
2022-02-07,0,-2.5,1.8,290,0,2
2022-02-07,0,-2.5,1.8,290,0,1
